target,arch,units,num_layers,dropout,lr,lookback,val_rmse_scaled,is_best,test_MAPE,test_RMSE,test_MAE,test_R2
NH3N,GRU,64,2,0.1,0.0001,8,0.18357219975385317,False,,,,
NH3N,GRU,64,2,0.2,0.0001,8,0.1835534765833147,False,,,,
NH3N,GRU,32,2,0.2,0.001,4,0.1510562844163656,True,58.00240612312243,3.3407830355937427,2.481690837490943,-0.15328590006079756
NO3N,LSTM,32,1,0.0,0.001,4,0.008834419668790682,False,,,,
NO3N,LSTM,32,1,0.0,0.001,8,0.007429664993587359,False,,,,
NO3N,LSTM,32,1,0.0,0.0001,4,0.0008383034693530562,False,,,,
NO3N,LSTM,32,1,0.0,0.0001,8,0.00098399307678742,False,,,,
NO3N,LSTM,32,2,0.1,0.001,4,0.0012529529615416483,False,,,,
NO3N,LSTM,32,2,0.2,0.001,4,0.0015236884279037658,False,,,,
NO3N,LSTM,32,2,0.1,0.001,8,0.005705520609193178,False,,,,
NO3N,LSTM,32,2,0.2,0.001,8,0.00529367859646938,False,,,,
NO3N,LSTM,32,2,0.1,0.0001,4,0.012568734573923155,False,,,,
NO3N,LSTM,32,2,0.2,0.0001,4,0.012352206138143236,False,,,,
NO3N,LSTM,32,2,0.1,0.0001,8,0.01431458071005628,False,,,,
NO3N,LSTM,32,2,0.2,0.0001,8,0.014153789967725263,False,,,,
NO3N,LSTM,64,1,0.0,0.001,4,0.004323378146518942,False,,,,
NO3N,LSTM,64,1,0.0,0.001,8,0.002596043030007392,False,,,,
NO3N,LSTM,64,1,0.0,0.0001,4,0.012316182421239273,False,,,,
NO3N,LSTM,64,1,0.0,0.0001,8,0.013856872983899614,False,,,,
NO3N,LSTM,64,2,0.1,0.001,4,0.0034688861228262765,False,,,,
NO3N,LSTM,64,2,0.2,0.001,4,0.003360688753499149,False,,,,
NO3N,LSTM,64,2,0.1,0.001,8,0.003281645426603991,False,,,,
NO3N,LSTM,64,2,0.2,0.001,8,0.0034237205482826535,False,,,,
NO3N,LSTM,64,2,0.1,0.0001,4,0.00030211359620764593,False,,,,
NO3N,LSTM,64,2,0.2,0.0001,4,5.2340328163099454e-05,False,,,,
NO3N,LSTM,64,2,0.1,0.0001,8,0.0035269410355393003,False,,,,
NO3N,LSTM,64,2,0.2,0.0001,8,0.003253415217980615,False,,,,
NO3N,GRU,32,1,0.0,0.001,4,0.005061693368973188,False,,,,
NO3N,GRU,32,1,0.0,0.001,8,0.004664912906658915,False,,,,
NO3N,GRU,32,1,0.0,0.0001,4,0.006382234594842193,False,,,,
NO3N,GRU,32,1,0.0,0.0001,8,0.005706366036430234,False,,,,
NO3N,GRU,32,2,0.1,0.001,4,0.0019863768494559034,False,,,,
NO3N,GRU,32,2,0.2,0.001,4,0.002088308320740666,False,,,,
NO3N,GRU,32,2,0.1,0.001,8,0.0019679367034526577,False,,,,
NO3N,GRU,32,2,0.2,0.001,8,0.0017585978072144452,False,,,,
NO3N,GRU,32,2,0.1,0.0001,4,0.0013396144158848134,False,,,,
NO3N,GRU,32,2,0.2,0.0001,4,0.0011261105577165702,False,,,,
NO3N,GRU,32,2,0.1,0.0001,8,0.002605140192151345,False,,,,
NO3N,GRU,32,2,0.2,0.0001,8,0.002603814032811114,False,,,,
NO3N,GRU,64,1,0.0,0.001,4,0.0020630918284957494,False,,,,
NO3N,GRU,64,1,0.0,0.001,8,0.0014685429769180874,False,,,,
NO3N,GRU,64,1,0.0,0.0001,4,0.01289426946688464,False,,,,
NO3N,GRU,64,1,0.0,0.0001,8,0.014814790243777784,False,,,,
NO3N,GRU,64,2,0.1,0.001,4,0.0025527719422781983,False,,,,
NO3N,GRU,64,2,0.2,0.001,4,0.0002469643922365603,False,,,,
NO3N,GRU,64,2,0.1,0.001,8,0.0009414330070312855,False,,,,
NO3N,GRU,64,2,0.2,0.001,8,0.0005213376096896772,False,,,,
NO3N,GRU,64,2,0.1,0.0001,4,0.008906247158321964,False,,,,
NO3N,GRU,64,2,0.2,0.0001,4,0.008638756555010257,False,,,,
NO3N,GRU,64,2,0.1,0.0001,8,0.014059784953294036,False,,,,
NO3N,GRU,64,2,0.2,0.0001,8,0.012197151954738163,False,,,,
NO3N,LSTM,64,2,0.2,0.0001,4,5.2340328163099454e-05,True,7.567809767785709,0.13078529880961845,0.0569484076192302,-0.06024074199577889
TSS,LSTM,32,1,0.0,0.001,4,0.13473946096227707,False,,,,
TSS,LSTM,32,1,0.0,0.001,8,0.13687181310666877,False,,,,
TSS,LSTM,32,1,0.0,0.0001,4,0.1380556917856151,False,,,,
TSS,LSTM,32,1,0.0,0.0001,8,0.1390703666530041,False,,,,
