target,method,variant,MAPE,sMAPE,RMSE,MAE,R2,MASE,beats_naive,rep_low,rep_high,P00,P01,P10,P11
BOD,kmeans,expected_value,41.094569402355006,30.13224807728318,1.3329416435741408,1.0791346646185358,-0.03953779092379972,0.7213467009482191,1.0,3.4309523809523816,7.2976190476190474,0.8952380952380953,0.10476190476190476,0.5,0.5
COD,quantile,expected_value,31.80174396715873,28.38631419503286,5.4243875928324465,4.727389512478209,-0.08660873187151608,0.775999591674033,1.0,12.523809523809524,24.626984126984127,0.746031746031746,0.25396825396825395,0.25806451612903225,0.7419354838709677
COD,kmeans,expected_value,41.30264433408491,35.20959377448115,6.137761226877722,5.848015873015877,-0.39120695935547145,0.9599500776454164,1.0,14.405555555555559,29.0,0.7444444444444445,0.25555555555555554,0.6285714285714286,0.37142857142857144
NH3N,quantile,expected_value,47.55293753520314,20.74993945107117,2.8729716053149357,2.078682443083765,0.14709019602225926,0.7814595650690845,1.0,9.059027777777779,14.162037037037036,0.6805555555555556,0.3194444444444444,0.41509433962264153,0.5849056603773585
NH3N,kmeans,expected_value,47.70587926129978,21.166544664517588,2.9058444712136886,2.125919038583175,0.12746035060874006,0.7992176836778853,1.0,9.149999999999999,14.32843137254902,0.7066666666666667,0.29333333333333333,0.42,0.58
NO3N,quantile,expected_value,30.543419751640872,23.125442850907984,0.32786060990166177,0.1816532258064516,-5.662927931862365,0.6880804007820136,1.0,0.5,2.9375,0.9658119658119658,0.03418803418803419,0.5,0.5
NO3N,kmeans,expected_value,30.058035369740484,26.82714864962021,0.16831412013999753,0.16201123829344416,-0.7560130265258378,0.6136789329297127,1.0,0.5527999999999998,13.4,0.9919354838709677,0.008064516129032258,1.0,0.0
TSS,quantile,expected_value,66.79609749494715,48.834701055490534,1.4219268441103794,1.1340475873100506,0.3493980284776036,0.7662483698040883,1.0,1.2727272727272727,4.520833333333333,0.7878787878787878,0.21212121212121213,0.23728813559322035,0.7627118644067796
TSS,kmeans,expected_value,92.31135027073972,59.79773460799156,1.6407486051757028,1.4068331757847892,0.133746592346908,0.950562956611344,1.0,2.026190476190477,6.7857142857142865,0.8653846153846154,0.1346153846153846,0.6666666666666666,0.3333333333333333
BOD,quantile,hybrid_regression,38.35754448286235,29.24879769487824,1.5692493168901211,1.1481546058665277,-0.44079404885008655,0.7674830253118501,1.0,3.193820224719101,6.195945945945946,0.8202247191011236,0.1797752808988764,0.4444444444444444,0.5555555555555556
BOD,kmeans,hybrid_regression,32.30682642667772,27.669601341617543,1.2888565847231674,0.9836991622255543,0.028087430477393704,0.6575529159261727,1.0,3.4309523809523816,7.2976190476190474,0.8952380952380953,0.10476190476190476,0.5,0.5
COD,quantile,hybrid_regression,20.890490611458112,17.920444990755044,6.140620236311959,3.4599355019770117,-0.39250332786555564,0.5679473903442239,1.0,12.523809523809524,24.626984126984127,0.746031746031746,0.25396825396825395,0.25806451612903225,0.7419354838709677
COD,kmeans,hybrid_regression,16.27691483177631,17.621648098073557,5.056409922385677,3.0485246339041963,0.05581670463116051,0.5004144179094216,1.0,14.405555555555559,29.0,0.7444444444444445,0.25555555555555554,0.6285714285714286,0.37142857142857144
NH3N,quantile,hybrid_regression,45.31108986302016,25.886930501597877,3.133840643244923,2.624854918182989,-0.014832241649554323,0.9867875632266876,1.0,9.059027777777779,14.162037037037036,0.6805555555555556,0.3194444444444444,0.41509433962264153,0.5849056603773585
NH3N,kmeans,hybrid_regression,44.97370560914348,26.477206534257846,3.1983773692294,2.677841133390051,-0.05706050558654052,1.0067071930037785,0.0,9.149999999999999,14.32843137254902,0.7066666666666667,0.29333333333333333,0.42,0.58
NO3N,quantile,hybrid_regression,5.217297972405986,6.628075034240615,0.1350776359799633,0.04596774193548386,-0.1309763766830605,0.17412023460410553,1.0,0.5,2.9375,0.9658119658119658,0.03418803418803419,0.5,0.5
NO3N,kmeans,hybrid_regression,13.174932073967478,13.736773167468023,0.1257259824177817,0.08286708803197985,0.02020164338468977,0.31389048496962063,1.0,0.5527999999999998,13.4,0.9919354838709677,0.008064516129032258,1.0,0.0
TSS,quantile,hybrid_regression,46.29724477532615,39.715212779079614,1.4104545746911283,0.9822256769503007,0.35985394104010926,0.6636659979393924,1.0,1.2727272727272727,4.520833333333333,0.7878787878787878,0.21212121212121213,0.23728813559322035,0.7627118644067796
TSS,kmeans,hybrid_regression,45.257082697118776,42.05858150934178,1.543602030543901,1.005857641039057,0.23328925271053635,0.6796335412426061,1.0,2.026190476190477,6.7857142857142865,0.8653846153846154,0.1346153846153846,0.6666666666666666,0.3333333333333333
