target,model,is_best,MAPE,sMAPE,RMSE,MAE,R2,MASE,beats_naive,task,arch,units,num_layers,dropout,lr,lookback,horizon,nhead,val_rmse_scaled,threshold,pos_rate_train,pos_rate_test,val_F1,accuracy,precision,recall,F1,AUC,TP,TN,FP,FN
NH3N,Transformer,,,,,,,,,classification,Transformer,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,13.458333333333334,0.25396825396825395,0.1935483870967742,0.2857142857142857,0.8064516129032258,0.0,0.0,0.0,0.38666666666666666,0.0,25.0,0.0,6.0
NH3N,LSTM_AE,,,,,,,,,classification,LSTM_AE,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,13.458333333333334,0.25396825396825395,0.1935483870967742,0.0,0.8064516129032258,0.0,0.0,0.0,0.5733333333333334,0.0,25.0,0.0,6.0
NO3N,LSTM,,,,,,,,,classification,LSTM,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,0.5,0.06349206349206349,0.12903225806451613,0.0,0.8709677419354839,0.0,0.0,0.0,0.33333333333333337,0.0,27.0,0.0,4.0
NO3N,GRU,,,,,,,,,classification,GRU,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,0.5,0.06349206349206349,0.12903225806451613,0.0,0.8709677419354839,0.0,0.0,0.0,0.3148148148148149,0.0,27.0,0.0,4.0
NO3N,Transformer,,,,,,,,,classification,Transformer,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,0.5,0.06349206349206349,0.12903225806451613,0.0,0.8064516129032258,0.0,0.0,0.0,0.2314814814814815,0.0,25.0,2.0,4.0
NO3N,LSTM_AE,,,,,,,,,classification,LSTM_AE,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,0.5,0.06349206349206349,0.12903225806451613,0.0,0.8709677419354839,0.0,0.0,0.0,0.33333333333333337,0.0,27.0,0.0,4.0
TSS,LSTM,,,,,,,,,classification,LSTM,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,4.0,0.16666666666666666,0.12903225806451613,0.0,0.8709677419354839,0.0,0.0,0.0,0.48148148148148145,0.0,27.0,0.0,4.0
TSS,GRU,,,,,,,,,classification,GRU,32.0,1.0,0.0,0.001,8.0,4.0,2.0,,4.0,0.16666666666666666,0.12903225806451613,0.28571428571428575,0.8709677419354839,0.0,0.0,0.0,0.6574074074074074,0.0,27.0,0.0,4.0
TSS,Transformer,,,,,,,,,classification,Transformer,64.0,2.0,0.2,0.001,8.0,4.0,2.0,,4.0,0.16666666666666666,0.12903225806451613,0.6666666666666665,0.8064516129032258,0.3333333333333333,0.5,0.4,0.5740740740740741,2.0,23.0,4.0,2.0
TSS,LSTM_AE,,,,,,,,,classification,LSTM_AE,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,4.0,0.16666666666666666,0.12903225806451613,0.0,0.8709677419354839,0.0,0.0,0.0,0.5740740740740741,0.0,27.0,0.0,4.0
